trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.00717461	0.02374
0.004	-0.0215	-0.0226	-0.00026878070480712676	0.0009354964790689606	-0.0001605702911834783	0.9307819	9.28247452	0.9631025	0.11634237375297828	0.00669402	0.01602
0.0087	-0.0182	-0.0402	0.00013788101090755203	0.0016877333866785165	0.0013386675362796509	0.96581733	9.63187504	0.94621448	0.15850682253936818	0.00645161	0.01326
0.0065	-0.0282	-0.0274	-0.00021467549799530252	0.0029129545215785357	0.00352731041828054	1.13162112	11.28539848	1.00380951	0.2133210262901881	0.00630176	0.01306
0.0157	-0.0338	-0.0201	-0.0006527531402458793	0.0020420352248333657	0.0024818581963359366	1.01258779	10.0983057	0.94254002	0.1398224580470175	0.00631881	0.01187
0.0033	-0.0286	-0.0304	-5.585053606381854e-05	0.0017121679962064373	0.002190388211252884	1.01358783	10.10827923	0.92837349	0.0888119908946021	0.00641048	0.01294
-0.0045	-0.0293	-0.0156	-0.00013439035240356338	0.002885029253546627	0.0025481807079117207	1.34039152	13.36741734	1.19462642	0.10375967851693856	0.00610763	0.01051
-0.0132	-0.0014	-0.0234	-0.00026354471705114377	0.0029792770331543207	0.0030927234345339517	1.19372308	11.90472698	1.0710047	0.08279724354387523	0.00587189	0.0108
-0.0016	-0.0074	-0.0353	-0.0005480333851262194	0.0031031954100459182	0.0030316369107141502	0.92302847	9.20515156	0.92041669	0.05297467843932373	0.00589609	0.00842
-0.0123	-0.0161	-0.0282	-0.0001605702911834783	0.0017575465567582897	0.0009529497715889039	1.02275956	10.19974613	0.99941277	0.2170899543177808	0.0054341	0.00407
-0.0134	-0.0147	-0.0309	-0.0001361356816555577	0.0018867009214058703	0.0012304571226560022	0.89018226	8.8775835	0.89247089	0.026754816262129975	0.0051164	0.00259
-0.0049	0.0013	-0.048	0.0007766715171374765	0.0019826940302655584	0.0014486232791552935	1.04532862	10.42482281	0.94734938	0.10294832320760068	0.00457704	0.00119
0.0054	-0.0137	-0.0276	-0.0007225663103256524	0.002478367537831948	0.0012130038301360591	1.28178585	12.78295612	0.99774032	0.15722653920243762	0.00447226	0.00123
-0.0175	-0.0102	-0.0377	-0.0004625122517784973	0.002398082392240209	0.001954768762233649	1.06834817	10.65439129	0.97279961	0.0906052068118242	0.00408775	0.00341
-0.0286	-0.0225	-0.0308	-0.0006824237375297829	0.0024748768793279594	0.0015515977050229591	1.13730216	11.34205341	0.97999944	0.0652938515024863	0.00372213	0.00094
0.0355	-0.0064	-0.0088	1.5707963267948964e-05	0.003384193419617005	0.0033300882128051803	2.03685236	20.31306267	1.36491278	0.27149693744344994	0.00643456	0.01548
-0.0159	0.0224	-0.0663	0.0015271630954950383	0.003757693879543791	0.0037315139407638766	2.4955287	24.88733482	1.71551529	0.2520190660056286	0.00454247	0.0053
-0.0105	-0.0193	-0.032	-0.0009704030641088471	0.0034365532971768345	0.0035482543693044722	1.38545942	13.81686878	1.11793063	0.23149831567151233	0.00428599	0.00263
0.064	-0.0254	0.0053	0.0006632251157578452	0.0013072516097437528	0.002567379329683659	1.31827533	13.14685726	1.2192692	0.35509024534602934	0.00413263	0.00497
0.0099	-0.0269	-0.0492	-0.0001675516081914556	0.0013194689145077131	0.0011833332328521555	1.26828635	12.64832878	1.11256412	0.2214520062772382	0.00447851	0.0037
-0.0004	-0.0157	-0.054	0.00023387411976724014	0.00244695161129605	0.0021624629432209744	1.34961355	13.45938683	1.1757323	0.1517019067557926	0.00390959	0.00238
0.031	-0.0059	-0.0004	-0.000932005820564972	0.0011030480872604163	0.002469640891571976	1.26353621	12.60095692	1.09283734	0.2356480706359424	0.00438219	0.0037
-0.0087	-0.0087	-0.0577	0.0002530727415391778	0.0022200588085367874	0.002717477645355171	1.237378	12.34008694	1.11035741	0.2272963018581858	0.00404245	0.00111
0.0034	-0.0338	-0.0429	-0.0003351032163829112	0.0017976891295541592	0.0016545721308906245	0.95547265	9.52870941	0.93850189	0.15567255756846318	0.00447738	0.00131
0.0189	-0.0071	-0.0152	-0.0005881759579220891	0.0016196655458507376	0.0018849555921538759	1.10512936	11.02120113	0.97449012	0.10297398932529252	0.00403488	0.00439
0.0335	-0.0293	-0.0217	-0.0012060225131280816	0.0016790067404185449	0.0013473941825396225	1.03616977	10.3334837	0.99044349	0.10403745796940266	0.00368088	0.00119
-0.0038	-0.007	-0.0404	0.0002443460952792061	0.0019355701404617114	0.00209614043164519	1.19792712	11.94665241	0.98934056	0.20108391287780109	0.00304818	0.00049
0.0231	-0.0073	-0.0229	-0.001186823891356144	0.001895427567665842	0.001499237827463129	1.1516422	11.48506355	0.97275646	0.14811075818066405	0.00356919	0.00086
0.0048	-0.014	-0.0442	-0.0011135200627723821	0.003347541505325124	0.004141666314982544	1.21911526	12.15795708	1.08775253	0.254692312688123	0.0031063	0.00057
0.0118	-0.0122	-0.0354	-0.0012897983172238095	0.0036704274169440743	0.003038618227722128	0.92144376	9.18934727	0.90784459	0.09771061266653969	0.00311673	0.00041
0.0197	0.0024	-0.0428	0.0006178465552059926	0.0032794736644973454	0.0032882003107573173	1.28059149	12.77104568	1.0533576	0.157309035395586	0.00293481	0.00053
0.0104	-0.0044	-0.0351	0.0011431906600562858	0.0033772121026090277	0.0028780479365386495	1.2395432	12.36168003	0.96087047	0.07546174585903215	0.00304741	0.00053
0.0585	-0.0169	0.0085	0.0005881759579220891	0.0019512781037296606	0.0030229102644541784	1.26511919	12.61674309	1.01051897	0.21049055144645465	0.00310057	0.00365
0.0125	-0.0146	-0.0453	0.0010105456369047167	0.0040055306333269865	0.00400727596257898	1.35597146	13.52279186	1.06809883	0.27514939533523775	0.00288045	0.0016
-0.0119	0.0029	-0.0381	0.000450294947014537	0.002590068609959585	0.0027942721324429216	1.29290617	12.893857	1.09576218	0.208535827169682	0.00236344	0.00025
0.0065	-0.0019	-0.0356	-0.0011414453308042916	0.0030473448739821	0.002909463863074547	1.23029768	12.26947689	1.10490471	0.1339104136236484	0.00268114	0.00111
-0.0002	0.0368	-0.0422	0.0001884955592153876	0.002363175807200322	0.0022026055160168437	1.12932396	11.26248837	1.02401983	0.188048415192958	0.00255471	0.00181
-0.0113	0.04	-0.0499	0.0008918632477691023	0.003375466773357033	0.0030368728984701333	1.09945834	10.96464634	0.97557232	0.14949630185818577	0.0025214	0.00045
0.0099	-0.0027	-0.0442	-0.0007278022980816354	0.0030455995447301047	0.0023771384412162766	1.20963335	12.06339645	0.99924372	0.2000633615865761	0.00289237	0.00057
0.0094	0.012	-0.0491	-0.0004677482395344803	0.003858922976159462	0.004279547325890096	1.03913939	10.3630991	0.95460066	0.1688893187325166	0.00314116	0.00127
0.0058	0.0281	-0.0446	-0.00023911010752322313	0.0026895523773232616	0.0027872908154349444	0.93764007	9.35086918	0.94288152	0.16871326206513043	0.00291777	0.00066
0.0028	0.0352	-0.0613	0.0002844886680750757	0.002811725424962865	0.002754129559647052	1.09399378	10.91014957	0.93617656	0.060746653951289725	0.00288975	0.00066
-0.0115	0.02	-0.0344	-0.0006632251157578452	0.002597049926967562	0.0031381019950858045	0.98484528	9.8216362	0.88696756	0.13371808586334882	0.00300515	0.00086
0.0141	0.0188	-0.052	0.0004188790204786391	0.003953170755767157	0.003755948550291797	1.28873706	12.85227966	1.00679939	0.1972035760121036	0.0022828	0.00123
0.0206	-0.0095	-0.0446	0.0001832595714594046	0.0032044245066615894	0.002574360646691636	1.24401426	12.40626907	1.02869294	0.15049768008624817	0.00192279	8e-05
-0.0021	0.0017	-0.0368	-9.773843811168246e-05	0.0032166418114255493	0.00394269878025519	1.13865435	11.35553932	0.99380041	0.12477767239493004	0.00189662	4e-05
0.0272	-0.019	-0.0549	0.0004729842272904633	0.0032026791774095948	0.0027471482426390747	1.21116722	12.07869244	0.99673654	0.15711179185171079	0.00225967	0.00103
